id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
8809051,Stylish Vista Cay Condo. Nr all Parks and OCCC,$210.00,6,3,4,2,36,5,76.08%,"$58,317.88"
2985306,Orlando Vacation Condo - 3bed/2bath,$140.00,7,3,4,2,144,5,74.25%,"$37,941.75"
8014031,Beautiful Pool Home Close to all Attractions!,$150.00,7,3,4,2,72,5,83.25%,"$45,579.38"
11658737,Top Fl Suite 10 min to DISNEY w/ FIREWORKS view,$129.00,8,3,4,2,27,5,79.25%,"$37,314.86"
13866723,Spacious 2BR+Loft Resort Condo 3 Miles to Disney!!,$90.00,7,3,4,2,56,5,74.58%,"$24,500.63"
13655042,Cancelled #13,$122.00,8,3,4,2,14,5,83.00%,"$36,959.90"
6332230,Luxury 3-bdr house next to Disney,$105.00,8,3,4,3,97,5,82.00%,"$31,426.50"
7558456,Casa Encantada Resort Disney,$86.00,8,3,4,2.5,54,5,77.33%,"$24,274.93"
7678340,Beautiful 3 bedroom 2 bath condo,$119.00,6,3,4,2,59,5,78.33%,"$34,024.08"
13897065,Vista Cay 3B Lakeview Condo (#3104),$135.00,8,3,4,2,79,5,80.83%,"$39,830.63"
16367143,NEW! Home Near Disney - Lucaya Village (16-106),$119.00,6,3,4,2,59,5,78.67%,"$34,168.87"
21028983,NEW! 3 Bedroom / 2 Bathroom Lucaya 15-102,$110.00,8,3,4,2,28,5,78.08%,"$31,350.46"
12953250,Cozy Condo3/2- Near Disney Resort Areas,$78.00,8,3,4,2,56,5,86.17%,"$24,531.65"
19428269,New Town House Very Confortable,$83.00,8,3,4,2,26,5,85.75%,"$25,977.96"
15998055,LUXURY 3BED 2BATH TOWNHOUSE CLOSE TO DISNEY!!!,$99.00,6,3,4,2,54,5,79.58%,"$28,757.44"
23964247,Gorgeous Villa at Seven Dwarfs. Near Disney!,$94.00,6,3,4,2,17,5,78.08%,"$26,790.39"
17544911,Regal Oaks Resort Getaway at Disney Orlando,$129.00,7,3,4,3,41,5,73.83%,"$34,764.43"
19471696,3-Star Hotel Suite Grade Luxury House near Parks,$50.00,9,3,4,2,106,5,75.00%,"$13,687.50"
20203477,Newly Renovated Home 10 Minutes from Disney!,$94.00,6,3,4,2,30,5,77.67%,"$26,647.43"
9334210,Orlando Florida Conv Ctr 3 ensuites,$111.00,10,3,4,3.5,136,5,80.08%,"$32,445.76"
12431348,☆Big Townhouse near airport & 25 min to Disney☆,$100.00,8,3,4,1.5,236,5,79.25%,"$28,926.25"
17775379,Spacious townhome close to Disney World,$85.00,6,3,4,3,28,5,80.75%,"$25,052.69"
19713980,Resort Vacation ★ 4m to Disney ★ Fun Water Slides,$100.00,8,3,4,3,32,5,77.00%,"$28,105.00"
8319329,The best view inside and out.,$130.00,8,3,4,2,90,5,78.25%,"$37,129.63"
14826133,Make Rich Everlasting Memories & Dreams Come True,$120.00,8,3,4,2,19,5,78.08%,"$34,200.50"
15144296,Luxurious Cane Island Resort condo near Disney,$89.00,6,3,4,2,38,5,82.58%,"$26,827.20"
17434896,Private Home w/ Pool/3 Bd 2 Bath/Close to Disney,$118.00,6,3,4,2,43,5,84.92%,"$36,573.61"
20000028,MyRental Property 21,$122.00,8,3,4,2,43,5,82.08%,"$36,551.71"
20000045,MyRental Property 04,$122.00,8,3,4,2,30,4.5,83.83%,"$37,330.98"
19554341,LAS FUENTES VILLA,$95.00,7,3,4,2,40,4.5,80.08%,"$27,768.90"
13342365,"Great place for 8, just 10 min from Disney + WiFi",$91.00,8,3,5,2,49,5,81.83%,"$27,180.94"
24980019,Fantastic Resort Condo 15 min from Disney,$76.00,8,3,5,2,34,5,82.08%,"$22,769.92"
5252947,"Disney Luxury 5* Star Condo 3 BD / 2,5 BT - SLP 8",$75.00,8,3,5,2.5,122,5,75.17%,"$20,576.88"
1569029,JUST REMODELED!! 3BDR/2BTH Villa near Disney World,$98.00,8,3,5,2,154,4.5,88.50%,"$31,656.45"
17875047,Comfortable and Beautiful 3BR House near Disney,$80.00,6,3,5,2,66,4.5,78.08%,"$22,800.33"
13811990,Disney Delight,$75.00,8,3,5,2,76,4.5,83.00%,"$22,721.25"
7843162,DISNEY WORLD ORLANDO - THE BEST PLACE IN TOWN,$80.00,6,3,5,2.5,91,4.5,81.50%,"$23,798.00"
19193485,3 Bed Townhouse on gated community in Kissimmee.,$80.00,6,3,5,2,8,5,79.92%,"$23,335.67"
4732934,Amazing Townhome near Disney,$81.00,8,3,5,2.5,58,4.5,76.92%,"$22,740.41"
15541665,Fun for All at Laguna Bay,$89.00,6,3,5,2,74,5,81.83%,"$26,583.56"
20182582,Bella Vida Hideaway with Splash pool,$89.00,6,3,5,3,18,5,75.58%,"$24,553.25"
50006,Villas at Seven Dwarfs 25,$80.00,8,3,5,2,137,4.5,79.00%,"$23,068.00"
22009529,Wonderful Family Oriented Home in Lovely Kissimmee,$116.00,8,3,5,2,42,5,81.42%,"$34,471.82"
768869,"3 Bed Shuttle DISNEY, V NICE RESORT",$95.00,7,3,5,2,105,5,79.17%,"$27,451.04"
10500134,3 bedroom Villa in Kissimmee,$70.00,7,3,5,2,72,4.5,75.92%,"$19,396.71"
26957501,Villa in Seven Dwarfs Resort 3/2 Disney Área!!!!,$100.00,7,3,5,2,32,5,80.50%,"$29,382.50"
2710757,Close to Disney! Immaculate Villa ! Great Resort!,$125.00,8,3,5,2,115,5,81.50%,"$37,184.38"
18999513,Entire Home; Spacious 3bed/2bath Near Attractions,$84.00,7,3,5,2,57,5,75.83%,"$23,250.50"
4902174,Villa Yvette 3 BDR near Disney,$70.00,6,3,5,2.5,48,4.5,75.17%,"$19,205.08"
23189746,Sweet vacation home,$89.00,8,3,5,2,27,5,83.17%,"$27,016.69"
11190914,"Spacious 3 Bedroom w/Game Room Loft, Near DISNEY",$82.00,8,3,5,2,37,5,80.83%,"$24,193.42"
5882835,Convention Center Shingle Parks,$114.00,10,3,5,3.5,174,5,78.83%,"$32,802.55"
23921376,Beautiful 3BD town home in the Vista Cay Resort!!!,$141.00,10,3,5,3.5,12,5,78.33%,"$40,314.25"
2687369,"Clean, Comfortable, and Spacious!",$71.00,8,3,5,2.5,170,5,82.00%,"$21,250.30"
17731571,"10 min to Disney, Wifi + Cable, Sleep Number Bed!",$71.00,8,3,5,3,39,5,82.83%,"$21,466.26"
19437507,"Vacation town home, minutes away from Disney.",$135.00,7,3,5,2.5,44,5,79.25%,"$39,050.44"
14072047,3 mi to Disney!*Spacious 3BR/2BA+Loft Resort Condo,$92.00,8,3,5,2,45,5,81.42%,"$27,339.72"
13651273,Cancelled #17,$133.00,10,3,5,2,5,4.5,82.08%,"$39,847.35"
6223609,3 bed/2.5 bath & hot tub by Disney,$106.00,8,3,5,2.5,105,5,79.75%,"$30,855.28"
5597793,Villa near Disney with heated pool,$100.00,6,3,5,2,18,5,82.92%,"$30,264.58"
21380410,"Lucaya Village, close to Disney",$130.00,8,3,5,2,19,5,81.75%,"$38,790.38"
9532579,Vista Cay Lake view 3B condo #3091; Vista Cay Lake view 3B condo #3091,$135.00,8,3,5,2,91,5,79.42%,"$39,132.56"
10072054,Vacation Home near Disney,$95.00,6,3,5,2.5,70,5,81.58%,"$28,289.02"
12048256,Disney Universal Convention Center - Renewed,$112.00,8,3,5,2,90,5,77.25%,"$31,579.80"
3903420,Best place for vacation or business,$134.00,6,3,5,3.5,122,5,80.50%,"$39,372.55"
14664694,Luxury Townhouse near Disney,$89.00,8,3,5,2.5,22,5,78.50%,"$25,500.73"
16268160,Disney area 3 Bedroom 2 Bath-Private Pool - 5371,$139.00,8,3,5,2,27,5,74.92%,"$38,008.97"
18367561,"Regal Oaks-Olga,3 brs. Enjoy your private jacuzzi!",$98.00,8,3,5,2.5,59,5,82.17%,"$29,391.02"
20661704,"Family Friendly Villa, Disney, Universal, Orlando",$89.00,6,3,5,2,39,5,79.58%,"$25,852.65"
6722442,Fantastic 3 Bed/2 Bath Condo!,$117.00,8,3,5,2,65,5,79.33%,"$33,879.30"
16487922,Entire Home Relax in walking distance to downtown,$80.00,7,3,5,1,163,5,73.67%,"$21,510.67"
19483578,Cozy family house with private pool.,$90.00,6,3,5,2.5,28,5,79.08%,"$25,978.88"
19874111,Disney House by Harry Potter - 01,$109.00,8,3,5,2,50,5,80.50%,"$32,026.93"
23861616,Luxury Home in Disney Area,$125.00,10,3,5,2,24,5,73.08%,"$33,344.27"
6054968,Vista Cay Townhome 3BR,$120.00,8,3,5,3.5,78,5,79.83%,"$34,967.00"
20000018,MyRental Property 31,$119.00,8,3,5,2,22,4.5,79.50%,"$34,530.83"
20000030,MyRental Property 19,$122.00,8,3,5,2,43,4.5,76.08%,"$33,879.91"
20000043,MyRental Property 06,$122.00,10,3,5,2,30,4.5,80.08%,"$35,661.11"
16186354,Cozy for Family Vacation WL8988,$117.00,8,3,7,2,15,5,85.67%,"$36,583.95"
13556938,Disney Townhome,$75.00,8,3,6,2.5,80,4.5,77.42%,"$21,192.81"
1734922,"Florence, Lake Berkley Resort - 3br",$71.00,6,3,6,2.5,203,5,77.83%,"$20,170.51"
16933178,Runaway2 Great 3 bd Gated Luxury Minutes to Disney,$85.00,10,3,6,2,67,4,76.17%,"$23,630.71"
73009,Villas at Seven Dwarfs 24,$80.00,8,3,6,2,159,4.5,81.17%,"$23,700.67"
22317216,Florida Fun in the Disney/Universal Parks Area,$100.00,10,3,6,2,35,4.5,81.00%,"$29,565.00"
5311851,COZY VILLA AT THE HEART OF DISNEY,$92.00,8,3,6,2,51,4.5,84.42%,"$28,347.12"
12973790,Terra Verde Home Near Disney!(4764),$78.00,8,3,6,2.5,66,4.5,80.00%,"$22,776.00"
19489509,Nautical themed Venetian Bay Village Disney World,$90.00,7,3,6,2,87,5,77.58%,"$25,486.13"
11472197,WONDERFUL HOUSE NEXT TO DISNEY TERRAVERDE RESORT,$91.00,8,3,6,2.5,92,4.5,73.42%,"$24,385.35"
2078529,DISNEY-Lakefront-Upgraded-Private Pool★★★,$99.00,8,3,6,2.5,51,5,75.17%,"$27,161.48"
13829391,Convention Center Close - 3BR 6beds,$99.00,10,3,6,3.5,91,5,79.92%,"$28,877.89"
19626737,Tideview Townhome Convention Center,$115.00,10,3,6,3.5,49,5,74.92%,"$31,446.27"
15002172,Casa ao lado da Disney - 3 minutos - House Disney,$59.00,8,3,6,3,44,5,78.50%,"$16,904.98"
10465663,3/2 Magical Tuscan Experience,$89.00,6,3,6,2,91,5,84.50%,"$27,449.83"
23407063,Luxury Home Disney and Universal Studio,$89.00,8,3,6,3,18,5,79.00%,"$25,663.15"
5796419,AMAZING RESORT HOUSE NEXT to DISNEY,$87.00,8,3,6,2.5,152,5,78.25%,"$24,848.29"
19364079,COSTAL Venetian Bay Village condo -Disney World!!,$90.00,10,3,7,2,70,5,78.67%,"$25,842.00"
2332809,House Disney in Orlando / Vacation,$51.00,9,3,7,3,66,5,77.83%,"$14,488.68"
6378125,YOUR SWEET HOME VACATIONS AREA DISNEY.,$80.00,8,3,7,2,38,5,75.42%,"$22,021.67"
20087984,Large Resort Condo Near Disney.,$96.00,10,3,7,2,49,5,79.75%,"$27,944.40"
12666575,Home Near Disney! (10-105),$121.00,10,3,7,2,61,5,83.83%,"$37,024.99"
22960381,*NEWLY RENOVATED* Chic Disney Vacation Home w/POOL,$129.00,10,3,7,2,26,5,79.33%,"$37,354.10"
13016339,6bds/3BR/3Fl/3.5ba Convention Ctr/Shingle Creek,$99.00,10,3,8,3.5,98,5,77.67%,"$28,064.85"
15966051,"3 BEDROOMS 2 HEADS, STYLISH, CLOSE TO DISNEY",$82.00,10,3,10,2,32,5,75.25%,"$22,522.33"
18132228,Nova casa disney ate 12 pessoas - new house up 12,$49.00,12,3,10,2.5,26,5,81.50%,"$14,576.28"
2755158,South Facing Pool / Spa / Games Room /WiFi & Cable,$135.00,10,4,4,3,33,5,75.58%,"$37,243.69"
19653840,4 Bedroom/3 Bathroom Crystal Cove (1044TD),$142.00,8,4,4,3,20,4.5,79.50%,"$41,204.85"
3050658,Best vacation spot next to DISNEY!!,$91.00,8,4,4,3,97,4.5,72.33%,"$24,025.52"
9294964,Bella Vida Dream,$125.00,8,4,4,3,42,5,78.58%,"$35,853.65"
15542607,LUXURY 4 BED 3 BATH TOWNHOUSE NEAR DISNEY,$150.00,8,4,5,3,44,5,87.08%,"$47,678.13"
5394508,4BR/3BA /rent a dream townhouse,$100.00,8,4,5,3,31,4.5,78.50%,"$28,652.50"
9625698,Storey Lake Resort Townhome with private pool,$115.00,10,4,5,3,74,4.5,80.92%,"$33,964.77"
3051708,Family Vacation Home in Gated Resort /Private Pool,$108.00,9,4,5,3,51,4.5,79.83%,"$31,470.30"
16283846,House 7 minutes from Disney and Out Let,$125.00,8,4,5,3,41,5,81.08%,"$36,994.27"
15780218,Villa near Disney 4Bd Luxury Villa Private pool,$105.00,8,4,5,4,50,5,82.25%,"$31,522.31"
11284092,"Big Villa, Heated Pool 9ms Disney",$129.00,10,4,5,3,59,5,80.67%,"$37,981.90"
172917,Beautiful 4br condo min from Disney,$70.00,10,4,5,3,90,5,75.67%,"$19,332.83"
20652342,SPECIAL OFFER Storey Lake 4Bd&3Ba+Pool Lake JN4903,$149.00,8,4,5,3,40,5,76.00%,"$41,332.60"
4512108,Veranda Palms Luxurious Home w/Pool & NEAR DISNEY,$110.00,8,4,5,3,118,5,80.58%,"$32,354.21"
16743627,3078 Great 4 Bedroom w/Clubhouse and Private Pool,$129.00,9,4,5,3,64,5,80.33%,"$37,824.95"
20378790,"Modern + Fun! Includes Waterpark! Disney 4BR, Lake View-Storey Lake (3053GS)",$149.00,8,4,5,3,21,5,82.83%,"$45,048.91"
8007546,Disney Lake view,$100.00,8,4,5,2.5,57,4.5,78.50%,"$28,652.50"
12850773,SHORT TERM RENTAL,$85.00,8,4,5,3.5,66,5,77.50%,"$24,044.38"
13061503,Brand new townhome with splash pool,$125.00,10,4,5,2,66,5,78.58%,"$35,853.65"
194227,Beautiful 4 bedroom townhouse,$79.00,8,4,5,3,102,4.5,76.83%,"$22,154.89"
26838783,4BD/3BA Modern upgraded Townhome -private pool #62,$129.00,8,4,5,3,13,5,87.33%,"$41,120.90"
21789001,NO AIRBNB FEES! 5 Miles 2 Disney-Free Water Park-C,$119.00,10,4,5,3,52,5,83.17%,"$36,123.44"
13641308,House Crystal Cove,$130.00,8,4,5,3,50,5,81.58%,"$38,711.29"
16714966,Disney World Area Villa Orlando * 4 Beds * Pool *,$75.00,10,4,5,3,38,5,78.58%,"$21,512.19"
16437727,Luxurious 4BR/3BA with private pool in Storey Lake,$125.00,8,4,5,3,36,4.5,79.67%,"$36,347.92"
8274616,Minnie Heaven - 4 Miles from Disney,$119.00,8,4,5,3,45,5,77.75%,"$33,770.71"
3323744,Disney vacation home w/4 suites!,$110.00,8,4,5,4,77,5,80.92%,"$32,488.04"
3888457,2 Story 4Bed/4Ba Disney Pool Villa -Golf Shopping,$110.00,9,4,5,3.5,71,5,81.17%,"$32,588.42"
6569956,Casa Disney,$80.00,9,4,5,3,46,5,76.50%,"$22,338.00"
13417244,"New Townhome 4/3½ near Disney, Universal, Walmart.",$125.00,8,4,5,3.5,41,5,77.42%,"$35,321.35"
17343622,Family Friendly Close to Disney,$100.00,10,4,5,3,62,5,83.92%,"$30,629.58"
8101253,Beautiful house near Disney Parks !,$140.00,10,4,5,4,26,5,76.92%,"$39,304.42"
14093858,Vista Cay Luxury 4 bedroom Condo (#3080),$180.00,8,4,5,2,70,5,79.00%,"$51,903.00"
23768843,Brand new house close to all!,$130.00,8,4,5,3.5,18,5,83.83%,"$39,778.92"
17497008,"3080 4 BedTownhouse in Kissimmee, 15 min to Disney",$149.00,10,4,5,3,51,5,77.33%,"$42,057.73"
18789999,"Regal Oaks-Camaro,4brs,Enjoy your private jacuzzi!",$105.00,10,4,5,3.5,54,5,81.42%,"$31,202.94"
19250227,Regal Oaks Resort Hideaway at Disney Orlando,$129.00,9,4,5,3,26,5,74.92%,"$35,274.51"
14662246,Beautiful and Modern 4 Bedroom Home with Pool!!,$130.00,9,4,5,1.5,72,5,78.00%,"$37,011.00"
