id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
20378790,"Modern + Fun! Includes Waterpark! Disney 4BR, Lake View-Storey Lake (3053GS)",149.00,8.00,4.00,5.00,3.00,21.00,5.00,0.83,45048.91
8007546,Disney Lake view,100.00,8.00,4.00,5.00,2.50,57.00,4.50,0.79,28652.50
12850773,SHORT TERM RENTAL,85.00,8.00,4.00,5.00,3.50,66.00,5.00,0.78,24044.38
13061503,Brand new townhome with splash pool,125.00,10.00,4.00,5.00,2.00,66.00,5.00,0.79,35853.65
194227,Beautiful 4 bedroom townhouse,79.00,8.00,4.00,5.00,3.00,102.00,4.50,0.77,22154.89
26838783,4BD/3BA Modern upgraded Townhome -private pool #62,129.00,8.00,4.00,5.00,3.00,13.00,5.00,0.87,41120.90
21789001,NO AIRBNB FEES! 5 Miles 2 Disney-Free Water Park-C,119.00,10.00,4.00,5.00,3.00,52.00,5.00,0.83,36123.44
13641308,House Crystal Cove,130.00,8.00,4.00,5.00,3.00,50.00,5.00,0.82,38711.29
16714966,Disney World Area Villa Orlando * 4 Beds * Pool *,75.00,10.00,4.00,5.00,3.00,38.00,5.00,0.79,21512.19
16437727,Luxurious 4BR/3BA with private pool in Storey Lake,125.00,8.00,4.00,5.00,3.00,36.00,4.50,0.80,36347.92
